"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_search_users_not_found","tests.api_tests","Sun Apr 05 18:02:10 UTC 2026","broken","Sun Apr 05 18:02:10 UTC 2026","TestSearching","test_users","",""
"","0","test_adding_a_new_spend_without_amount","tests.ui_tests.spends","Sun Apr 05 18:02:14 UTC 2026","broken","Sun Apr 05 18:02:14 UTC 2026","","test_spends","",""
"","16","Calculate Rate Without Desired Currency","tests.grpc_tests","Sun Apr 05 18:02:11 UTC 2026","passed","Sun Apr 05 18:02:11 UTC 2026","","test_calculate_rate","",""
"","12","Currency Conversion[100.0-2-2-100.0]","tests.grpc_tests","Sun Apr 05 18:02:11 UTC 2026","passed","Sun Apr 05 18:02:11 UTC 2026","","test_calculate_rate","",""
"","0","test_editing_a_spend_by_adding_a_new_category[spends_with_single_category0]","tests.ui_tests.spends","Sun Apr 05 18:02:14 UTC 2026","broken","Sun Apr 05 18:02:14 UTC 2026","","test_spends","",""
"","2208","Registering With A Short Password","tests.ui_tests.account","Sun Apr 05 18:02:11 UTC 2026","broken","Sun Apr 05 18:02:13 UTC 2026","","test_registration","",""
"","0","test_removing_a_spend[spends_with_single_category0]","tests.ui_tests.spends","Sun Apr 05 18:02:14 UTC 2026","broken","Sun Apr 05 18:02:14 UTC 2026","","test_spends","",""
"","0","test_adding_a_new_spend_without_description","tests.ui_tests.spends","Sun Apr 05 18:02:14 UTC 2026","broken","Sun Apr 05 18:02:14 UTC 2026","","test_spends","",""
"","0","test_get_all_users","tests.api_tests","Sun Apr 05 18:02:10 UTC 2026","broken","Sun Apr 05 18:02:10 UTC 2026","TestGetting","test_users","",""
"","0","test_a_registered_user_logging_in","tests.ui_tests.account","Sun Apr 05 18:02:11 UTC 2026","broken","Sun Apr 05 18:02:11 UTC 2026","","test_login","",""
"","2531","Registering With A Long Username","tests.ui_tests.account","Sun Apr 05 18:02:11 UTC 2026","broken","Sun Apr 05 18:02:14 UTC 2026","","test_registration","",""
"","233","Registering A User","tests.ui_tests.account","Sun Apr 05 18:02:13 UTC 2026","broken","Sun Apr 05 18:02:14 UTC 2026","","test_registration","",""
"","0","test_update_spend_amount_and_preserve_fields","tests.api_tests","Sun Apr 05 18:02:09 UTC 2026","broken","Sun Apr 05 18:02:09 UTC 2026","TestUpdating","test_spends","",""
"","0","test_add_spend_with_invalid_amount","tests.api_tests","Sun Apr 05 18:02:09 UTC 2026","broken","Sun Apr 05 18:02:09 UTC 2026","TestAdding","test_spends","",""
"","0","test_logging_in_with_invalid_password","tests.ui_tests.account","Sun Apr 05 18:02:11 UTC 2026","broken","Sun Apr 05 18:02:11 UTC 2026","","test_login","",""
"","0","test_delete_spend","tests.api_tests","Sun Apr 05 18:02:10 UTC 2026","broken","Sun Apr 05 18:02:10 UTC 2026","TestDeleting","test_spends","",""
"","0","test_update_user_too_long_firstname","tests.api_tests","Sun Apr 05 18:02:10 UTC 2026","broken","Sun Apr 05 18:02:10 UTC 2026","TestUpdating","test_users","",""
"","0","test_archiving_a_category[spends_with_single_category0]","tests.ui_tests.spends","Sun Apr 05 18:02:15 UTC 2026","broken","Sun Apr 05 18:02:15 UTC 2026","","test_spends","",""
"","0","test_adding_spends_with_a_single_category[spends_with_single_category0-For autotest]","tests.ui_tests.spends","Sun Apr 05 18:02:15 UTC 2026","broken","Sun Apr 05 18:02:15 UTC 2026","","test_spends","",""
"","34","Currency Conversion[100.0-2-1-6666.67]","tests.grpc_tests","Sun Apr 05 18:02:11 UTC 2026","passed","Sun Apr 05 18:02:11 UTC 2026","","test_calculate_rate","",""
"","0","test_get_current_user","tests.api_tests","Sun Apr 05 18:02:10 UTC 2026","broken","Sun Apr 05 18:02:10 UTC 2026","TestGetting","test_users","",""
"","80","Get All Currencies","tests.grpc_tests","Sun Apr 05 18:02:11 UTC 2026","passed","Sun Apr 05 18:02:11 UTC 2026","","test_get_all_currencies","",""
"","0","test_adding_spends_with_different_categories[spends_with_categories_1to10-category0]","tests.ui_tests.spends","Sun Apr 05 18:02:15 UTC 2026","broken","Sun Apr 05 18:02:15 UTC 2026","","test_spends","",""
"","0","test_adding_a_new_spend","tests.ui_tests.spends","Sun Apr 05 18:02:14 UTC 2026","broken","Sun Apr 05 18:02:14 UTC 2026","","test_spends","",""
